iter	Passed	Remaining
901	76798	8343
902	76874	8257
903	76973	8174
904	77119	8095
905	77204	8010
906	77288	7924
907	77371	7839
908	77446	7753
909	77519	7666
910	77591	7580
911	77666	7494
912	77767	7410
913	77871	7327
914	77988	7244
915	78075	7159
916	78180	7076
917	78346	6998
918	78442	6913
919	78525	6828
920	78613	6743
921	78699	6657
922	78777	6571
923	78853	6485
924	78932	6399
925	79008	6313
926	79078	6227
927	79170	6142
928	79247	6056
929	79317	5970
930	79415	5885
931	79500	5800
932	79604	5716
933	79692	5631
934	79808	5548
935	79881	5461
936	79974	5377
937	80045	5290
938	80115	5204
939	80201	5119
940	80295	5034
941	80393	4949
942	80470	4864
943	80555	4778
944	80641	4693
945	80727	4608
946	80816	4523
947	80920	4438
948	81002	4353
949	81076	4267
950	81173	4182
951	81257	4096
952	81335	4011
953	81404	3925
954	81489	3839
955	81584	3754
956	81659	3669
957	81731	3583
958	81809	3497
959	81883	3411
960	81969	3326
961	82058	3241
962	82132	3155
963	82237	3071
964	82313	2985
965	82404	2900
966	82495	2815
967	82566	2729
968	82662	2644
969	82766	2559
970	82854	2474
971	82947	2389
972	83019	2303
973	83114	2218
974	83194	2133
975	83284	2047
976	83364	1962
977	83461	1877
978	83548	1792
979	83622	1706
980	83713	1621
981	83800	1536
982	83881	1450
983	83962	1365
984	84045	1279
985	84134	1194
986	84213	1109
987	84295	1023
988	84407	938
989	84499	853
990	84567	768
991	84642	682
992	84721	597
993	84840	512
994	84935	426
995	85015	341
996	85105	256
997	85185	170
998	85271	85
999	85359	0
